Player,Depth,Heuristic,Total Plays,Total Time,Total Leaves,Total Cuts,Won
1,1,subtraction,1000,0.2776803970336914,20587,0,1
2,1,subtraction,1000,0.42147350311279297,28831,0,1

1,1,subtraction,1000,0.27867817878723145,20587,0,1
2,1,num_pieces,1000,0.42018580436706543,28831,0,1

1,1,subtraction,44,0.011486291885375977,938,0,0
2,1,side,44,0.02330756187438965,916,0,1

1,1,subtraction,24,0.00826406478881836,518,0,1
2,1,center,23,0.01015782356262207,436,0,0

1,1,num_pieces,1000,0.2853415012359619,21560,0,1
2,1,subtraction,1000,0.48674511909484863,32076,0,1

1,1,num_pieces,1000,0.2807648181915283,21560,0,1
2,1,num_pieces,1000,0.4763035774230957,32076,0,1

1,1,num_pieces,39,0.010602951049804688,925,0,0
2,1,side,39,0.022294998168945312,890,0,1

1,1,num_pieces,33,0.011404752731323242,790,0,1
2,1,center,32,0.012647151947021484,522,0,0

1,1,side,58,0.027362585067749023,1439,0,1
2,1,subtraction,57,0.01565241813659668,1306,0,0

1,1,side,58,0.02760148048400879,1439,0,1
2,1,num_pieces,57,0.015449285507202148,1306,0,0

1,1,side,36,0.014808416366577148,708,0,0
2,1,side,36,0.020371675491333008,780,0,1

1,1,side,139,0.0476224422454834,2982,0,0
2,1,center,139,0.15811586380004883,6769,0,1

1,1,center,21,0.007983207702636719,348,0,0
2,1,subtraction,21,0.009692907333374023,547,0,1

1,1,center,20,0.009582281112670898,434,0,0
2,1,num_pieces,20,0.009038448333740234,436,0,1

1,1,center,22,0.012934684753417969,667,0,0
2,1,side,22,0.014519453048706055,607,0,1

1,1,center,23,0.010726690292358398,494,0,0
2,1,center,23,0.015372037887573242,573,0,1

1,1,subtraction,27,0.007929563522338867,597,0,1
2,2,subtraction,26,0.32086873054504395,1751,901,0

1,1,subtraction,51,0.0195462703704834,1518,0,1
2,2,num_pieces,50,0.6019322872161865,3318,1640,0

1,1,subtraction,26,0.009182929992675781,670,0,1
2,2,side,25,0.22180604934692383,2364,466,0

1,1,subtraction,29,0.009241104125976562,694,0,1
2,2,center,28,0.287203311920166,9518,478,0

1,1,num_pieces,27,0.007932424545288086,597,0,1
2,2,subtraction,26,0.32092976570129395,1751,901,0

1,1,num_pieces,44,0.016187667846679688,1216,0,1
2,2,num_pieces,43,0.5745913982391357,2936,1556,0

1,1,num_pieces,26,0.009166717529296875,670,0,1
2,2,side,25,0.2210996150970459,2364,466,0

1,1,num_pieces,30,0.009337186813354492,695,0,1
2,2,center,29,0.2880513668060303,9519,478,0

1,1,side,20,0.009306192398071289,403,0,1
2,2,subtraction,19,0.11196470260620117,937,250,0

1,1,side,50,0.026724576950073242,1290,0,1
2,2,num_pieces,49,0.8348696231842041,3626,2173,0

1,1,side,26,0.010995626449584961,540,0,1
2,2,side,25,0.1805102825164795,3674,410,0

1,1,side,26,0.011558771133422852,536,0,1
2,2,center,25,0.17811298370361328,3462,354,0

1,1,center,25,0.009897708892822266,430,0,1
2,2,subtraction,24,0.2811892032623291,1661,1048,0

1,1,center,43,0.03514909744262695,1694,0,1
2,2,num_pieces,42,1.473602533340454,5738,3482,0

1,1,center,16,0.007816791534423828,321,0,1
2,2,side,15,0.14809703826904297,2124,274,0

1,1,center,23,0.008980751037597656,393,0,1
2,2,center,22,0.17112302780151367,5058,325,0

1,1,subtraction,92,0.02074146270751953,1915,0,0
2,3,subtraction,92,8.02601957321167,631319,7737,1

1,1,subtraction,97,0.024949312210083008,2452,0,0
2,3,num_pieces,97,4.396536111831665,216248,3776,1

1,1,subtraction,39,0.008489847183227539,768,0,0
2,3,side,39,1.9888787269592285,56402,2404,1

1,1,subtraction,77,0.023856163024902344,1873,3,1
2,3,center,75,2.8192901611328125,66735,4574,0

1,1,num_pieces,98,0.019871234893798828,1958,0,0
2,3,subtraction,98,7.010974884033203,531201,6445,1

1,1,num_pieces,97,0.025848388671875,2452,0,0
2,3,num_pieces,97,4.716253995895386,216248,3776,1

1,1,num_pieces,36,0.008916378021240234,722,0,0
2,3,side,36,2.5362260341644287,68489,2616,1

1,1,num_pieces,131,0.03965473175048828,3105,3,1
2,3,center,129,4.468643426895142,104056,7914,0

1,1,side,40,0.01577162742614746,802,0,0
2,3,subtraction,40,3.0351502895355225,202580,2083,1

