#{"t_start": 1590524602.164614, "env_id": "eximo-v2"}
r,l,t
-13807,12984,30.804457
-9325,10482,56.868034
-18537,17712,100.743976
-17031,16172,141.066521
-34193,33458,224.098399
-13742,14887,261.297418
-25476,26681,327.353218
-16137,17326,370.331205
-23277,24464,430.684469
-12030,13155,462.912556
-25471,26702,528.953101
-16191,17372,571.847941
-12395,13548,605.536134
-19195,20400,656.088938
-23018,24239,716.172365
-14925,16052,756.473187
-17711,18842,803.961801
-17648,18791,851.017242
-16546,15665,890.432735
-19292,20469,941.537351
-13746,14899,979.029335
-14460,15609,1017.901311
-14725,15866,1057.469068
-14412,15577,1096.572442
-11166,12265,1127.522821
-9907,11030,1155.241649
-14343,15472,1193.943726
-19265,20406,1244.857208
-12183,13332,1278.448403
-17758,18981,1325.914837
-15944,17129,1368.90914
-17485,18614,1415.688076
-12204,13331,1449.376572
-26055,25290,1512.833376
-26904,28119,1583.329421
-24588,23735,1642.851358
-34826,34039,1728.288152
-31117,30270,1804.478132
-9086,10199,1829.976665
-19684,18817,1877.293161
-33035,34372,1963.198751
-23511,22674,2020.397401
-13374,14473,2056.90772
-17111,18250,2102.704005
-26105,27346,2171.043238
-19656,20805,2223.032204
-16135,17252,2266.755019
-14493,15620,2305.960711
-22195,21368,2359.490034
-24723,25988,2424.42771
-39489,40690,2526.528125
-11987,13108,2559.560359
-22220,23387,2618.519355
-14563,15678,2658.404433
-30543,31746,2738.289696
-13950,15055,2776.049141
-22427,23568,2835.770466
-11905,13002,2868.230508
-27972,27119,2936.180911
-41896,41193,3039.263895
-24153,25300,3103.083322
-24681,25798,3168.00804
-18936,20073,3218.28743
-46894,48087,3338.874438
-35410,36601,3430.802486
-24169,25384,3494.186454
-32035,31254,3572.359338
-23049,24214,3633.167942
-29013,30164,3708.958537
-20281,21388,3762.890772
-18616,19731,3812.973786
-25297,26450,3879.983968
-33032,32173,3960.691229
-28175,29346,4034.325583
-33203,34364,4121.029137
-28110,29239,4194.441658
-28114,29225,4267.633569
-34200,33381,4351.691454
-19643,20786,4403.846061
-40514,41693,4510.211265
-49632,48873,4633.707856
-40924,40131,4735.071419
-43273,42486,4841.771075
-25358,26509,4908.670813
-32796,33903,4994.332615
-29660,30813,5072.218223
-32113,33254,5156.553509
-52310,53523,5291.603374
-36627,35736,5381.500038
-51810,50937,5509.221933
-80391,81670,5713.905489
-59220,58377,5861.108677
-68784,69969,6037.90281
-71236,72449,6220.61103
-76660,77885,6417.234274
-41030,42129,6522.915993
-51992,53187,6657.042399
-94185,95418,6900.122284
-79674,80821,7105.295202
-66761,65978,7272.622731
-131416,132617,7608.485038
-137581,136808,7955.412237
-390131,389328,8934.494534
-755733,756856,10862.104224
-585697,586896,12343.733184
