#{"t_start": 1590678980.1532116, "env_id": "eximo-v3"}
r,l,t
100,2262,4.267705
100,1362,7.0092
100,1822,10.653113
-100,1608,13.876792
-100,1016,15.934716
100,5836,27.876492
100,1880,31.817359
100,1839,35.796575
100,2100,40.394943
100,1781,44.146265
-100,2650,49.811232
-100,1529,53.07447
100,1034,55.264255
100,2419,60.564635
-100,984,62.706908
-100,1762,66.470411
100,1886,70.632761
100,1557,74.030348
100,1865,78.19199
-100,1657,82.15161
-100,2712,89.080679
100,2347,94.625399
-100,1250,97.379921
100,786,99.136714
-100,3207,106.51016
100,4881,117.709767
100,1356,120.843755
100,2272,125.961421
100,2434,131.435555
100,1475,134.817749
100,2721,140.941912
-100,1754,144.861473
-100,1554,148.321446
100,2759,154.90039
100,2361,160.366541
-100,1190,163.332772
-100,1632,167.237362
-100,1769,171.364504
100,972,173.695419
100,1318,176.592186
100,2307,181.61357
100,2031,186.191266
-100,3064,192.984625
-100,1729,196.749917
100,1625,200.294715
100,1572,203.737546
100,1440,206.908598
-100,1672,210.70888
-100,1502,213.924316
100,2494,219.551146
100,2311,224.800649
-100,3439,232.576117
100,1523,236.010608
100,1784,240.18877
-100,2487,245.785165
100,1360,248.860422
100,3294,256.584446
-100,2609,262.384477
100,3043,269.084165
100,1288,271.946064
100,1527,275.733629
100,628,277.347566
100,1966,281.832491
100,1195,284.55935
100,1652,288.293363
-100,2279,293.456795
100,2330,298.663738
100,1192,301.309143
100,1434,304.541703
100,2529,310.237705
100,1751,314.311512
-100,1427,317.843344
100,2812,324.697055
-100,2427,330.376374
-100,2383,335.757298
100,2285,340.916241
100,1420,343.957544
100,1844,347.919326
-100,2178,352.598939
100,2802,358.553931
100,3036,365.105101
-100,2721,370.937295
100,2188,375.627727
-100,1768,379.436339
100,1931,383.616827
100,2539,389.514257
100,1179,392.102085
-100,2009,396.604191
-100,2860,403.339612
100,1632,406.944393
-100,1536,410.336554
-100,795,412.048843
100,1276,414.906546
-100,806,416.669814
100,1156,419.42889
-100,1488,422.765952
100,726,424.691713
-100,1994,429.206767
-100,2249,434.135128
100,944,436.217129
100,1863,440.24924
100,1347,443.204131
100,3063,449.94831
100,1791,453.854321
100,2222,458.646288
100,2749,464.593322
100,3414,472.025519
100,1133,474.476751
-100,1845,478.461638
100,2633,484.189618
100,1076,486.531404
100,2168,491.236921
