#{"t_start": 1590681866.7331266, "env_id": "eximo-v3"}
r,l,t
100,2656,2.786325
-100,6060,6.567492
-100,5734,10.263611
-100,4564,13.169571
100,5006,16.156078
-100,1441,17.037225
100,6046,21.051019
100,1929,22.366783
-100,52507,55.595038
-100,8999,61.664592
100,1778,62.814292
-100,4148,65.573451
-100,216409,222.150959
-100,66056,270.812172
100,47217,305.62543
-100,2912,307.87596
-100,11977,316.827198
100,12785,326.385275
100,9769,333.952541
100,2134,335.379168
100,1233,336.225592
-100,3888,338.815112
100,3412,341.220329
100,3491,343.633321
100,248902,513.992223
100,11187,521.895015
100,140049,617.12385
-100,31121,639.93615
-100,15275,650.830957
100,4010,653.721646
100,1691,654.944475
-100,4607,658.23959
100,5373,661.94655
100,2962,663.97422
100,12164,672.238105
-100,3833,674.828841
-100,4873,678.294629
100,3700,680.88462
100,5774,685.017455
-100,5122,688.949025
100,10576,696.607923
100,2721,698.412047
